,Number,Title_URL,Title,Author,minirating,num_reviews,num_pages,awards,genres,series,year_published,places
0,1,https://www.goodreads.com/book/show/136251.Harry_Potter_and_the_Deathly_Hallows,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling," 4.62 avg rating — 2,883,079 ratings",66759,759,"['Locus Award Nominee for Best Young Adult Novel (2008)', ' Odyssey Award Nominee (2008)', ' Audie Award (2008)', ' Books I Loved Best Yearly (BILBY)', ' Teen Read Award Nominee for Best All-Time-Fave (2010)', ' Andre Norton Award (2007)', ' Carnegie Medal Nominee (2008)']","['Fantasy', 'Young Adult', 'Fiction']",True,2007,"London, England Hogwarts School of Witchcraft and Wizardry (United Kingdom) Pagford (United Kingdom) "
1,2,https://www.goodreads.com/book/show/2767052-the-hunger-games,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins," 4.33 avg rating — 6,531,961 ratings",173696,374,"['Locus Award Nominee for Best Young Adult Book (2009)', ' Georgia Peach Book Award (2009)', ' Buxtehuder Bulle (2009)', ' Golden Duck Award for Young Adult (Hal Clement Award)', "" Grand Prix de l'Imaginaire Nominee for Roman jeunesse étranger (2010)"", "" West Australian Young Readers' Book Award (WAYRBA)"", "" Red House Children's Book Award for Older Readers & Overall (2010)"", ' South Carolina Book Award for Junior and Young Adult Book (2011)', ' Charlotte Award (2010)', ' Colorado Blue Spruce Young Adult Book Award (2010)', ' Teen Buckeye Book Award (2009)', "" Pennsylvania Young Readers' Choice Award for Young Adults (2010)"", ' Rhode Island Teen Book Award (2010)', "" Dorothy Canfield Fisher Children's Book Award (2010)"", ' Evergreen Teen Book Award (2011)', ' Soaring Eagle Book Award (2009)', ' Milwaukee County Teen Book Award Nominee (2010)', ' Sakura Medal for Middle School Book (2010)', ' Michigan Library Association Thumbs Up! Award (2009)', ' Florida Teens Read (2009)', ' Deutscher Jugendliteraturpreis for Preis der Jugendjury (2010)', ' Iowa High School Book Award (2011)', ' New Mexico Land of Enchantment Award for Young Adult (2011)', ' Eliot Rosewater Indiana High School Book Award (2010)', ' The Inky Awards for Silver Inky (2009)', ' California Young Readers Medal for Young Adult (2011)', ' Lincoln Award (2011)', ' Kinderboekwinkelprijs (2010)', ' Missouri Truman Readers Award (2011)', ' CYBILS Award for Young Adult Fantasy & Science Fiction (2008)', ' Literaturpreis der Jury der jungen Leser for Jugendbuch (2010)', ' The Inky Awards Shortlist for Silver Inky (2009)', ' Prix Et-lisez-moi (2011)', ' Missouri Gateway Readers Award (2011)', ' Oklahoma Sequoyah Award for High School and Intermediate (2011)', ' Premio El Templo de las Mil Puertas for Mejor novela extranjera perteneciente a saga (2009)', "" Rebecca Caudill Young Readers' Book Award (2011)"", ' LovelyBooks Leserpreis for Fantasy (2009)', ' LovelyBooks Leserpreis for Bestes Cover/Umschlag (2009)', ' Premi Protagonista Jove for Categoria 13-14 anys (2010)']","['Young Adult', 'Fiction', 'Science Fiction']",True,2008,"District 12, Panem Capitol, Panem Panem (United States) "
2,3,https://www.goodreads.com/book/show/1.Harry_Potter_and_the_Half_Blood_Prince,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",J.K. Rowling," 4.57 avg rating — 2,506,015 ratings",40523,652,"['Locus Award Nominee for Best Young Adult Novel (2006)', ' Audie Award for Audiobook of the Year (2006)', ' British Book of the Year (2006)']","['Fantasy', 'Young Adult', 'Fiction']",True,2006,Hogwarts School of Witchcraft and Wizardry (United Kingdom) England 
3,4,https://www.goodreads.com/book/show/6.Harry_Potter_and_the_Goblet_of_Fire,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling," 4.56 avg rating — 2,671,368 ratings",47861,734,"['Hugo Award for Best Novel (2001)', "" Mythopoeic Fantasy Award for Children's Literature (2008)"", ' Publieksprijs voor het Nederlandse Boek (2001)', ' Audie Award for Solo Narration - Male (2001)', "" West Australian Young Readers' Book Award (WAYRBA)"", ' Indian Paintbrush Book Award (2002)', '', ' Corine Internationaler Buchpreis for Kinder- und Jugendbuch (2001)']","['Fantasy', 'Young Adult', 'Fiction']",True,2002,"London, England, 1994      Hogwarts School of Witchcraft and Wizardry, 1994 (United Kingdom) "
4,5,https://www.goodreads.com/book/show/2.Harry_Potter_and_the_Order_of_the_Phoenix,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling," 4.50 avg rating — 2,580,928 ratings",43636,870,"['Bram Stoker Award for Works for Young Readers (2003)', ' Anthony Award for Young Adult (2004)', "" Mythopoeic Fantasy Award for Children's Literature (2008)"", ' Audie Award for Audiobook of the Year (2004)', ' Books I Loved Best Yearly (BILBY)', ' Golden Archer Award for Middle/Junior High (2005)', ' Deutscher Jugendliteraturpreis Nominee for Preis der Jugendjury (2004)', ' Carnegie Medal Nominee (2003)']","['Fantasy', 'Young Adult', 'Fiction']",True,2004,"Hogwarts School of Witchcraft and Wizardry (United Kingdom) London, England "
5,6,https://www.goodreads.com/book/show/19063.The_Book_Thief,The Book Thief,Markus Zusak," 4.37 avg rating — 1,887,365 ratings",114588,552,"['National Jewish Book Award for Children’s and Young Adult Literature (2006)', "" Book Sense Book of the Year Award for Children's Literature (2007)"", ' Buxtehuder Bulle (2008)', ' Sydney Taylor Book Award for Teen Readers (2007)', ' Prijs van de Kinder- en Jeugdjury Vlaanderen (2009)', ' Exclusive Books Boeke Prize (2007)', ' Rhode Island Teen Book Award Nominee (2008)', ' The Quill Award Nominee for Young Adult/Teen (2006)', ' Zilveren Zoen (2008)', ' Teen Read Award Nominee for Best All-Time-Fave (2010)', ' Deutscher Jugendliteraturpreis for Preis der Jugendjury (2009)', ' Association of Jewish Libraries for Teen Book Award (2006)', ' Lincoln Award Nominee (2010)', ' Australian Book Industry Award (ABIA)', '', ' Ena Noel Award (2008)', ' Literaturpreis der Jury der jungen Leser for Jugendbuch (2009)', ' LovelyBooks Leserpreis for Allgemeine Literatur (2009)', ' Margaret A. Edwards Award (2014)']","['Historical', 'Historical Fiction', 'Fiction']",False,2006,"Molching, 1939 (Germany) Germany "
6,7,https://www.goodreads.com/book/show/18619684-the-time-traveler-s-wife,The Time Traveler's Wife,Audrey Niffenegger," 3.98 avg rating — 1,599,151 ratings",47612,500,"['Arthur C. Clarke Award Nominee (2005)', ' Orange Prize Nominee for Fiction Longlist (2004)', ' British Book Award (2006)', ' John W. Campbell Memorial Award Nominee for Best Science Fiction Novel (2005)', ' Exclusive Books Boeke Prize (2005)']","['Fiction', 'Romance', 'Fantasy']",False,2013,"Chicago, Illinois (United States) Illinois (United States) "
7,8,https://www.goodreads.com/book/show/77203.The_Kite_Runner,The Kite Runner,Khaled Hosseini," 4.31 avg rating — 2,482,594 ratings",74898,371,"['Borders Original Voices Award for Fiction (2003)', "" Humo's Gouden Bladwijzer (2008)"", ' Exclusive Books Boeke Prize (2004)', ' ALA Alex Award (2004)', ' Puddly Award for Fiction (2006)', ' Prix des libraires du Québec for Lauréats hors Québec (2006)', ' LovelyBooks Leserpreis Nominee for Allgemeine Literatur (2009)']","['Fiction', 'Historical', 'Historical Fiction']",False,2004,"Kabul (Afghanistan) Fremont, California (United States) Afghanistan …more Peshawar (Pakistan) …less "
8,9,https://www.goodreads.com/book/show/4667024-the-help,The Help,Kathryn Stockett," 4.46 avg rating — 2,217,788 ratings",85060,451,"['Orange Prize Nominee for Fiction Longlist (2010)', ' Audie Award for Fiction (2010)', ' Exclusive Books Boeke Prize (2009)', ' SIBA Book Award for Fiction (2010)', ' Indies Choice Book Award for Adult Debut (2010)', ' Lincoln Award Nominee (2013)', ' Grand Prix des lectrices de Elle for roman (2011)', ' Goodreads Choice Award for Fiction (2009)', ' Townsend Prize for Fiction (2010)']","['Fiction', 'Historical', 'Historical Fiction']",False,2009,"Jackson, Mississippi, 1962 (United States) Jackson, Mississippi (United States) Mississippi (United States) "
9,10,https://www.goodreads.com/book/show/128029.A_Thousand_Splendid_Suns,A Thousand Splendid Suns,Khaled Hosseini," 4.38 avg rating — 1,179,312 ratings",55175,372,"['British Book Award for Best Read of the Year (2008)', ' Book Sense Book of the Year Award for Adult Fiction (2008)', ' California Book Award for Fiction (Silver)', ' Exclusive Books Boeke Prize Nominee (2007)', ' Lincoln Award Nominee (2011)']","['Fiction', 'Historical', 'Historical Fiction']",False,2007,Afghanistan Kabul (Afghanistan) Herat (Afghanistan) 
